公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
颜植园艺,农/林/牧/渔,不限本科,直播运营专员,3-5K,天津·东丽区,农/林/牧/渔0-20人,"直播运营
直播",,,1.花卉大棚内工作2.完成日常直播3.维系粉丝,
怡家园艺,电子商务,1-3年大专,电商美工,5-8K,广州·荔湾区,电子商务0-20人,"电商美工
网页设计
平面设计
图片设计
产品上架",,,产品上架图片设计，有工作经验。,
甫田园艺,农/林/牧/渔,不限大专,网店运营推广,3-8K,萍乡,农/林/牧/渔20-99人,"运营专员
渠道运营
数据运营
运营总监
产品运营",,,"岗位职责：1、负责网站的设计、建设及日常维护与更新；2、对网站系统数据库进行日常管理，统计数据库中相关信息；3、负责公司网站运营及公司品牌与业务推广；4、负责网络运行的安全性、可靠性及稳定性；5、维护公司与其它合作网站、电视、电台、报纸等媒体的合作关系；6、负责公司网站的链接、广告交换和网站层面的合作推广工作。任职资格：1、有经验者优先；2、有一年以上目网站建设经验，有大型网站工作经验者优先考虑；3、熟练使用photoshop、flash、dreamweaver等工具，熟悉ASP，JAVA,SQL,HTML等开发语言；4、可以独立完成网站前后台工作，熟悉互联网B2B、B2C网站的运营及推广营销；",
植觉园艺,电子商务,1-3年高中,淘宝运营助理,4-5K,杭州·余杭区,电子商务未融资100-499人,"网店运营
数据分析
淘宝运营助理
钻展
淘宝活动",全勤奖，带薪年假，零食下午茶，节日福利，餐补，五险一金，加班补助,五险一金加班补助全勤奖带薪年假餐补节日福利零食下午茶,岗位职责：1、负责淘宝活动的申报，并跟进其实施情况，对活动实施过程进行跟踪、评估。2、完成商品的上下架、编辑和改价，充分利用淘宝的各种活动资源来实现在线促销及推广（例如直通车、钻展）。3、协助上级主管完成活动的数据汇总、统计和分析。4、为活动宝贝准备足够的信誉。5、完成上级主管交办的其他工作。任职资格：1、大专或以上学历。2、22岁以上，一年以上网店运营助理职位工作经验。3、熟悉淘宝运营环境和交易规则，有一定的推广工作经验。4、良好的沟通力和耐心、思维开拓较强的团队合作意识，踏实肯干。,"我公司是以园艺为基础的互联网公司，目前以多肉植物及庭院植物为核心业务。公司旗下品牌：mumuhome、米薇花园。本公司坐落于地铁一号线临平IFC杭州互联网+金融中心及杭州仁和高新农业开发区。“有植有生活”“悦自己阅生活” 是我公司的核心宗旨,年轻活力阳"
花匠园艺,电子商务,不限高中,新媒体运营,2-5K,昆明,电子商务未融资0-20人,"自媒体推广
自媒体编辑
自媒体运营
粉丝管理
采编",,,工作地点：昆明招聘人数：1工作年限：0-2年以内工作经验学历要求：大专以上JobDescription:职位描述：图片的处理新闻和推送文章的采编新媒体的运营工作产品促销信息的投放和推广粉丝的管理与用户互动跟踪推广效果，活动统计与监测，分析数据并反馈负责收集同行业、潜在客户、拓展渠道等相关信息兼电商客服工作完成上级安排的其他相关工作。Qualifications:任职要求：中专及以上学历，脑洞超大、超有创意者优先；0-2年相关工作经历；能吃苦耐劳；优秀的语言和文字表达能力，良好的沟通、协调能力，较强的策划、计划、组织、执行能力，善于观察分析；耐心细致，有责任心，具有保密意识；能熟练PPT、EXCEL，WORD文档等办公软件；使用PS、美图等制图软件者尤佳；,花匠是一家业界领先的花卉供应链公司，主要致力于花卉产品的开发、物流和分销。我们为专业客户提供覆盖行业供应链的一站式解决方案。在中国市场，伴随业务高速成长，我们需要吸纳一批具有共同价值观、勤奋、聪明的优秀人才加入我们。期待您的应聘！Florartisan is a leading flowers
勋贤园艺,电子商务,1-3年不限,淘宝美工,2-3K,台州,电子商务0-20人,"电商美工
产品上下架
淘宝美工
图片制作
包吃包住",,,图片制作产品上下架 工作很轻松 双休包吃包住,
百绿园艺,工程施工,5-10年本科,园林养护经理,5-6K,天津·东丽区,工程施工未融资0-20人,"品牌管理
团队管理
客户管理
园林养护
园林",定期体检，五险一金,五险一金定期体检,1.熟悉大型园林项目养护流程2.具有较强的施工计划制定，落实。3.预算管控能力强。4.与业主方沟通能力强。5.对工作热情，心态好。,主要从事园林设计，施工，维护，园林科技等
明远园艺,批发/零售,不限不限,淘宝美工,4-6K,常州,批发/零售未融资0-20人,"视觉设计
Dreamweaver
网页设计
平面设计
电子商务",住房补贴，通讯补贴，五险一金，年终奖，节日福利，带薪年假,五险一金年终奖带薪年假通讯补贴节日福利住房补贴,"1.负责网店的整体板式的风格装修和页面创意设计，以及日常维护,注重客户体验；2.进行淘宝图片处理、制作，制作宝贝详情页，根据店铺风格与产品卖点优化详情页，善于色彩搭配，有较强的的视觉效果展示表现能力。3.协助运营推广人员完成推广上的图片需求； 负责广告宣传投放素材的创意设计，并不断优化，提升投放效果； 完成领导安排的平台设计工作。4：对工作有热情，能长期保持较好的工作态度，有长期工作的打算。5：工资待遇，试用期1个月，待遇面议。6：希望你有良好的团队合作精神，服从管理与工作分配。",常州明远园艺有限公司是长青园林旗下的全资子公司，负责江苏常州周边地区的产品销售和服务。 长青园林始建于1998年，是一家致力于园农林机械、森防设备、应急设备、电力器材设备、公(铁)路养护设备、安全防护用品等的销售与服务的集团公司。目前在合肥、南昌、贵阳、郑州、济南、广州、长春、成都、沈阳、
木禾园艺,工程施工,1-3年大专,园林景观设计师,5-10K,广州·天河区,工程施工不需要融资0-20人,"空间设计
景观施工图设计
方案深化
园林景观设计师
SketchUp",,,薪酬计算方式：5000+项目提成，多劳多得哦！任职资格：1、具备景观施工图设计能力，有庭园设计，木阳台及方案深化能力者更优2、提供图纸技术支持，对项目的园林景观完成设计方案及设计图纸；3、负责本专业的设计工作，按要求完成设计；4、参与现场施工技术支持及工程验收，协助解决施工现场实际问题。5、建筑规划、园林景观等相关专业大专及以上学历；6、1-3年以上工作经验，能够熟练操作AUTOCAD、PHOTOSHOP、3DMAX、SKETCHUP等专业绘图软件；7、在设计方面具有独特风格，熟悉设计流程、熟悉植物的绿化配植及灯光搭配效果；8、具备良好的沟通交流能力，以及团队协助精神；,本公司属于小规模公司，主要从事园林景观，市政，地产以及私人阳台和私家花园木结构，等景观业务，诚聘拥有：诚信，勤业，敬业，乐观，积极向上，至同道合者加入本公司一齐并肩发展！！（其中本公司办公区域面积200方，景观木结构销售店面面积100方，仓储基地面积1500方。）期待您的加入！！
君林园艺,旅游,1-3年中专/中技,淘宝店铺编辑,2-5K,南宁,旅游未融资0-20人,"淘宝天猫运营
电商平台
国内电商
淘宝店铺
美工编辑",,,淘宝店铺美工编辑，线上销售编辑,多肉园艺场，以多肉种植生产，园艺景观结合综合性休闲观光旅游场所。
太星园艺,农/林/牧/渔,1年以内本科,施工图设计师,5-10K,西双版纳,农/林/牧/渔未融资20-99人,"施工图设计师
熟练操作cad
园林专业
CAD
软件",,,能熟练操作CAD软件，园林专业优先,我们是云南太星园艺工程有限公司，公司总部在重庆，是一家专业从事庭院设计建造的公司，在20余年的锤炼过程中，努力继承和发扬传统园林艺术，多次出国考察学习，不断吸纳欧美、日本等国的园林精髓，从而锻造出一支具有中国顶级水准的设计施工团队。
锦秀园艺,日化,1年以内高中,美工设计,5-6K,台州,日化未融资20-99人,"电商美工
美工设计
图片处理
公司网站",,,负责公司网站网店及其他图片处理，外包勿扰,专业园艺事业
创景园艺,农/林/牧/渔,1-3年中专/中技,招商运营,4-8K,苏州,农/林/牧/渔未融资20-99人,"招商加盟
地推
面销
网络销售
招商运营",补充医疗保险，五险一金,五险一金补充医疗保险,1、【项目位置】苏州市相城区珍珠宝石城；2、通过各种渠道开拓客户，主要针对鲜花绿植水族等潜在客户资源进行回访促进商铺租赁； 3、根据公司要求，通过各种渠道寻找新的客户，通过电话及网络销售、推广公司业务完成招商任务； 4、按照公司规定，为入驻商家提供培训及服务； 5、按照公司制定的招商目标、完成公司招商任务、总结招商经验； 6、研究行业特征，帮助公司在行业内良性发展，打造专业的花卉交易市场。,公司主营鲜花绿植租摆、销售业务，是苏州地区业务量较大的绿植租摆企业，2019年10月在苏州高铁新城开设第一家鲜花店铺
阁雅园艺,农/林/牧/渔,1-3年大专,电商运营,4-5K,南通,农/林/牧/渔0-20人,"网店店长
运营专员
电商平台
短视频运营
新媒体运营",,,精通淘宝店铺运营，活动广告，运营推广，抖音的链接,
香微园艺,电子商务,不限高中,淘宝天猫运营助理,5-8K,上海·松江区,电子商务未融资0-20人,"电商编辑
文案
推广资源
文案撰写能力
推广手段",带薪年假，全勤奖，年终奖，住房补贴,全勤奖年终奖带薪年假住房补贴,岗位要求：1、具有灵活的电子商务营销头脑，并有1年以上网络销售营销实战经验；2、熟悉淘宝直通车、钻展、淘宝客、淘宝论坛、帮派、产品上架时间、收藏排行、关键词、橱窗推荐规则、网站广告联盟等推广手段，有实际操作经验，并每日分析数据进行调整跟踪，能够制定出正确的预算达到销售增长目标，其他广告投放经验；3、具备较好的文案撰写能力以及灵活的思维，较强的组织、协调能力；4、具有团队合作精神，在任何情况下能为整个团队的团结、精进做出乐观、积极高效的努力；5、了解淘宝、互联网的各种推广资源、方式，熟悉淘宝店铺的各种营销活动、网店设置等功能；6、吃苦耐劳、细心且有耐心、做事积极、热情、主动。7、具有良好的网络营销意识和人际沟通能力；工作内容：1、负责淘宝店铺的日常运营、管理、营销、推广等；2、站内外网络推广、传播方式和渠道各方面策划运作；3、对网站流量统计分析、产品排名分析、跟踪广告投放实际效果，不断调整达到最优化；4、了解淘宝的各项活动，报名参加管理淘宝直通车、钻展、淘宝客、聚划算等活动；5、 能独立完成淘宝店铺的各个环节运作，配合协调整个运营团队；6、不断改进店铺页面和产品页面、活动页面，使之具有吸引力；7、有成功打造淘宝爆款的经验，撰写有一定的文字功底的文案；8、配合店长完成公司指定销售额目标；9、店长交待的其他相关工作。工作时间：单休制：做六休一（调休制）；行政班：09：00—18：00晋升岗位：运营主管、店长、经理等,中国-上海香微花卉有限公司成立于2013年，注册资金500万元，公司主要是以种植、研发、销售为一体的花卉、绿植、盆栽、园艺资材、园艺工具等综合性企业，总部位于上海市松江区，在奉贤、云南、广州等地区设有大棚生产种植区，有员工50多人。现主要招聘电子商务天猫店铺客服、仓库打包发货人员、大棚花苗养护人
正欣园艺,农/林/牧/渔,不限大专,网络业务员,3-4K,广州·从化区,农/林/牧/渔未融资20-99人,"电商平台
拼多多运营
打造爆款
优化店铺
站外引流",五险一金,五险一金,"工作内容：1、负责制定销售策略，完成销售指标； 2、根据公司战略需要，制定年度、月度业绩目标及跟进业绩完成情况并及时调整运营方案3、负责公司淘宝店铺整体运营工作,包括公司产品的上下架，优化Listing、回复邮件、推广运营等，提高并保持店铺的好评率和良好的信用度；4、优化类目的搜索排名,提高类目的搜索转化率5、优化店铺产品信息关键词,提升产品信息排名等6、负责策划制定店铺产品的营销方案,结合各种互联网资源进行有效的广告宣传和促销推广,提高站外引流和站内引流,提升店铺业绩与销量；	任职要求：1、电子商务、市场营销相关专业专科以上学历；2、熟悉淘宝或天猫，京东，拼多多运营，了解网站业务流程；3、对产品和数据运营敏感，思维清晰而有条理；4、性格开朗，善于沟通，具备良好的团队管理能力。5、具有独立解决问题的能力和应变能力，有团队合作精神，积极沟通各个部门，完善工作流程。6、善于打造爆款，对于销售不理想的款式进行诊断改进;技能要求：熟悉运用Excel、Word、PPT等办公室软件操作不要随便投简历，看好了再投我们的团队年轻、朝气、温馨而又充满活力！我们为每一位成员提供广阔的舞台和发展空间！我们的梦想是：开心工作，快乐生活！欢迎有激情、有责任的你加入！",正欣园艺简介    &nb
宜景园艺,其他服务业,1-3年大专,轰趴馆店长,3-8K,福州,其他服务业未融资0-20人,"运营专员
门店运营
轰趴馆
店长
客户服务",加班补助，节日福利，住房补贴，五险一金，包吃,五险一金加班补助包吃节日福利住房补贴,主要负责轰趴馆日常的管理工作，日常客户服务工作，有类似工作经验者优先。花园式上班，上班时间较自由，工资弹性大。,
丹诺园艺,农/林/牧/渔,1-3年本科,产品专员/主管,4-5K,杭州·江干区,农/林/牧/渔0-20人,"B端产品
需求分析
产品专员
采购",,,筛选园艺产品试验和推广采购和统计,
楚天园艺,农/林/牧/渔,1年以内不限,花木养护员,3-4K,苏州·张家港市,农/林/牧/渔0-20人,花木养护,,,花木的浇水养护,
偶遇园艺,其他行业,1-3年大专,全屋设计设计师,8-10K,上海·普陀区,其他行业未融资20-99人,"橱柜设计
全屋设计
木作
家具定制
室内设计软件",带薪年假，零食下午茶，全勤奖，五险一金，年终奖，员工旅游,五险一金全勤奖年终奖带薪年假员工旅游零食下午茶,"职位描述：1、能完成零售客户橱、衣柜等定制家具的设计方案及报价2、实地现场测量，根据客户要求制定设计方案。3、配合销售人员与相关客户的设计人员，参与客户的设计洽谈，签定合同4、绘制规范标准的平面图、立面图、效果图、水电位置图及电器附件安装尺寸5、编写设计方案所体现的设计风格、设计思路、材料应用及价格诉求等说明6、有独立精装修项目测量、设计、下单操作经验，且有能力指导现场安装操作指导管理能力7、了解家装工艺流程及装饰材料，有较强的视觉搭配能力，能够熟练操作CAD等室内设计软件。8、有室内装饰设计及定制衣柜设计经验优先录取。岗位要求：1、专业不限，大学专科以上学历2、具备2年以上定制家具行业设计经验，熟悉整体橱、衣柜/材料/生产/及安装过程及五金进口电器相关专业知识3、亲和力强，热情敬业，有良好的团队合作精神4、熟练操作 AUTOCAD,office,3Dmax,photoshop等设计软件5、熟悉橱、衣柜等木作制作安装流程及细节6、具有良好的道德品质，高度的责任心和敬业精神。",偶遇园艺 一家专业从事别墅庭院、屋顶花园、商务空间、工业厂区、花园软装、户外智能花园设计的景观公司。并提供造景、假山、凉亭、鱼池、木品园艺、艺术景墙、泳池喷泉、雕塑、假树等优质施工。我们专业为高端人群提供景观绿化设计、施工、养护的一条龙服务。一直以来秉承“诚信至上、客户至上&r
轩榭园艺,贸易/进出口,不限本科,景观设计助理,4-8K,杭州·萧山区,贸易/进出口天使轮0-20人,"CAD
SketchUp
景观设计师
photoshop软件
施工",休寒暑假，节日福利，年终奖，通讯补贴，带薪年假，餐补,年终奖带薪年假餐补通讯补贴节日福利休寒暑假,景观设计师最好偏植物，有专业植配师指导，有丰富的资源平台可以学习。做设计图，配合施工，有机会和国际一流设计师交流。,轩榭园林绿化有限公司是一家花园自媒体运营、花园设计施工、花园材料销售、花园植物生产的综合性公司，杭州花院猎人花卉有限公司是我们子公司之一。
天乐园艺,农/林/牧/渔,1-3年本科,平面设计师,5-6K,武汉·江汉区,农/林/牧/渔未融资20-99人,"展陈设计
CorelDRAW
photoshop软件
JAVA培训讲师",五险一金,五险一金,熟练操作PS等设计软件,
汇巨园艺,装修装饰,不限大专,建模设计师,4-7K,苏州·吴江区,装修装饰未融资20-99人,"3DMax
设计师
建模设计
SketchUp
设计软件",带薪休假，全勤奖，加班补助，包吃，员工旅游,加班补助全勤奖员工旅游包吃带薪休假,"熟练运用3dmax等设计软件,具有扎实的传统动画基础与良好的动作制作能力良好学习能力，不会可以现学",汇巨园艺经营范围：景观园艺工程，绿化工程施工，建筑装饰材料，铝粱铝板销售，铝合金花箱，PVC花箱，花盆，花架，护栏，垃圾箱，公园座椅，进出口贸易，城市环保新生态解决方案。
环美园艺,原材料及加工/模具,3-5年大专,产品设计师,5-10K,苏州·吴江区,原材料及加工/模具100-499人,"产品设计
产品设计师
开模
结构设计
设计软件",,,1、精通CAD、3D等设计软件；2、具备开发塑胶新产品的能力，负责新品的结构设计和优化；3、有模具供应商资源优先；4、根据客户设计意图、理念，提出设计方案，保证产品的设计、打样、开模、生产顺利进行；5、产品开发技术资料的完善，产品设计、规格等；,
炮弹园艺,家具/家电/家居,不限大专,淘宝美工,3-8K,杭州,家具/家电/家居20-99人,"网页设计
美工
淘宝美工
操作流程",,,淘宝美工，有美工经验，懂淘宝操作流程,
成林园艺,建筑设计,不限大专,绘图员,4-6K,南昌,建筑设计未融资20-99人,"3D设计
设计师助理
3DMax
设计师
效果图软件",包吃，年终奖，五险一金，节日福利，通讯补贴，加班补助，餐补，交通补助，全勤奖,五险一金加班补助全勤奖年终奖餐补通讯补贴交通补助包吃节日福利,岗位要求：1、接到方案后，能够根据领导的要求绘制出园林景观效果图。2、积极与设计师配合工作，及时有效的沟通和调整。任职要求：1、两年以上相关经验，有较强的视觉搭配能力，能熟练操作AutoCAD 、3Dmax、Photoshop等平面和效果图软件。2、做图熟练，效果柔和真实；3、具有一定的审美配色能力、视觉搭配能力，理解能力强，踏实肯干；4、富有创意及执行力，有责任感！福利待遇：试用3个月后交五险。转正4000元以上，晋升空间大，可往设计师方向培养！上班时间：8：00-12：00，13：30-17：30（单休）工作地点：江西省南昌市高新区花卉大市场江西成林园艺有限公司,江西成林园艺有限公司是一家集花卉、林木种植开发；园林设计、景观工程、绿化养护为一体的专业技术服务型企业，作为江西园林花卉行业领军品牌，专注园林绿化12年，累计为100余家政府单位、园林公司、公园景区及高档住宅小区提供各类型园林绿化服务，并荣获ISO9001质量管理、ISO14001环境管理及职业健康
昇宏园艺,批发/零售,1-3年不限,网络推广运营,3-8K,嘉兴,批发/零售0-20人,"店铺推广
线上推广
网站运营
产品运营
活动运营",,,公司官网，公众号，淘宝，慧聪网运营,
大地园艺,农/林/牧/渔,1-3年高中,平面设计师,6-10K,珠海,农/林/牧/渔20-99人,"园林景观设计
现场测量
CAD
园林施工
方案及施工图设计",,,负责园林施工方案及施工图设计、绘制，园林景观施工，局部园林景观设计变更，现场测量等工作。,
孔氏园艺,批发/零售,3-5年本科,淘宝天猫运营,10-11K,昆明,批发/零售0-20人,"店铺推广
电商活动
电商客服
电商平台
数据运营",,,负责鲜花类目天猫店的全部运营管理,
霖生园艺,批发/零售,3-5年大专,电商运营,3-6K,无锡,批发/零售未融资0-20人,"店铺运营
页面设计
电商运营
产品迭代
运营",,,新店需要运营要有想法和主见。,
欣怡园艺,新零售,1-3年大专,新媒体运营/文案/助理,4-8K,广州·荔湾区,新零售A轮100-499人,"撰稿
软文
内容运营
时尚话题
新媒体运营",年终奖，通讯补贴，五险一金,五险一金年终奖通讯补贴,1、职位信息A、负责公众号、小程序、抖音、快手、小红书、头条、微博等账号群的家里与维护B、围绕品牌核心做营销推广软文撰写，专题活动策划，C、提高粉丝量与活跃度， 实现与粉丝互动，提高粉丝值D、与短视频公司、营销大V、MCN机构建立并维护关系E、扩大品牌知名度的同时，引流获取客户信息并实现转化2、职位要求A、广告、传媒、市场营销、中文、电商等专业优先B、对内容营销深感兴趣C、市场嗅觉敏锐，善于把握当下热点及流行元素逻辑思维清晰，文笔清新，创意新颖，善于沟通，,广州欣怡园艺有限公司成立于1998年，注册资金1000万元，具有三级园林资质。经营符合国家政策的朝阳行业，是聚室内植物租摆，室外绿化养护以及园林绿化、设计与施工为一体的园艺公司。历经20余年的行业沉淀和积累，现正处在高速发展与扩张阶段，全国300——400亿的市场，期待广大精
明辉园艺,电子商务,1年以内本科,电商运营,5-10K,漳州,电子商务0-20人,"店铺运营
商城运营
活动策划
淘宝店铺",,,淘宝店铺运营管理,
漫香园艺,生活服务,1-3年高中,其他技术职位,3-4K,南京·玄武区,生活服务未融资0-20人,"花艺
销售
管理
微信公众号
产品制作",,,花店店面花艺师:工作内容:1 鲜花处理 绿植维护2店内商品陈列 产品制作保持店面整洁3接待客人，根据客户需求销售和制作产品4通过会员系统和公众号维护和客人之间的长期信任关系福利待遇:底薪:2800-4000面议提成百分之三至百分之八绩效:300加班有加班工资工作时间:早上8点-晚上6点或者中午11点至晚上9点,南京漫香园艺有限公司成立2年，目前有3家分店，致力发展更多的超市花店，让客人更方便更实惠的购买到新鲜的花卉和植物，并且和客户通过公众号建立链接和互动，让爱花的人会养花会插花！
超杰园艺,工程施工,不限不限,网络平台维护推广员,3-6K,清远,工程施工0-20人,"阿里巴巴运营
店铺推广
运营专员
电商平台
网站运营",,,工作要求：1、熟练操作办公软件；2、文笔好，思路清晰，能编写标准格式公文；3、性格稳重，有亲和力，善于沟通；4、有电子商务从业经验、熟悉阿里巴巴网站者优先。工作内容：1、负责网站产品的上传及下架，网站日常产品更新、数据分析、后台管理；2、熟悉和了解行业趋势和竞争对手，给以团队指导；3、领导交办的其他行政方面工作；4、协助其它部门完成工作。待遇：1、工资：底薪+绩效+提成+年终奖金；2、公司提供吃住；3、各种节日福利，不仅有活动而且有礼物还有津贴；4、不定时团建活动、旅游等；我们是一支年轻有想法的团队，紧跟互联网时代，实现做一行，爱一行，专一行，把家乡的景观石推向全世界。2020年，特殊的一年，期待你的加入，一起撸起袖子加油干！,
安浓园艺,电子商务,不限大专,运营助理/专员,3-5K,合肥,电子商务未融资100-499人,"运营专员
TO C
TO B
文案
运营助理",,,1.整理合同。2.会做表格。3. 催要款项4.配合运营总监及销售经理工作,安浓园艺（872756）专注花卉租摆行业20多年，1997年起步于安徽农业大学，仅合肥市长期租花客户2015年已超1000家，是中国租花行业中客户数量领先的企业；2016年被推选为中国花卉租摆产业联盟主席单位；2017年被中国花卉协会盆栽分会评为“优秀花卉租摆企业&rdqu
中和园艺,建筑设计,1年以内本科,平面设计,5-6K,青岛,建筑设计未融资0-20人,"插画设计
广告设计
网页设计
宣传海报
手绘基础",免费班车，五险一金，零食下午茶，带薪年假，员工旅游，定期体检，年终奖，加班补助，节日福利，全勤奖,五险一金定期体检加班补助全勤奖年终奖带薪年假员工旅游免费班车节日福利零食下午茶,1.宣传海报2.维护平台广告3.文案设计4.摄影爱好者优先5.有手绘基础者优先,园艺公司刚刚成立之前是做日本锦鲤的，寻求志同道合的志士，共同创业。
智见嘉禾,广告营销,1-3年不限,淘宝达人 园艺类,3-6K,连云港,广告营销0-20人,"电商直播
直播平台
直播
淘宝达人
淘宝直播",,,自有欧洲玫瑰基地上百亩，花园式办公，天天有美相伴，诗和远方都在这里。招聘淘宝直播实习生：形象好、气质佳、语言逻辑清楚、有销售经验者优先，实习期月薪3000元，一个月转正后薪资4000，额外销售额5%奖金。工作内容：淘宝、天猫直播销售月季盆栽产品。工作时间：9:00-18:00，15:00-24:00，早晚轮班。月休四天。工作地点：,
甲第园艺,装修装饰,1-3年大专,效果图设计师,4-7K,南京,装修装饰不需要融资20-99人,"VRay
3DMax
效果图设计师
场景效果图
效果图",节日福利，带薪年假，员工旅游，餐补，五险一金，全勤奖，年终奖，零食下午茶,五险一金全勤奖年终奖带薪年假员工旅游餐补节日福利零食下午茶,"岗位要求1.熟练运用3Dmax、AutoCAD、Vray、Photoshop草图大师SketchUp、lumion10等设计软件,效果图表现真实度高者优先录用。2.有良好的领悟能力和理解能力，空间感色彩感强。3.能够独立精渲给定模型场景效果图，视频动画。4.1年以上相关工作经验。工作内容1.根据要求制作庭院花园场景效果图，动画视频2.能接受加班公司待遇：1.周末单双休轮休，法定假日正常放假。2.试用期三个月，一金。3.每月有全勤奖，加班有餐补，有考核绩效奖金。4.公司有不定期外出活动聚餐。",甲第设计是一家专业从事精品景观设计的团队，主要以高端庭院，民宿，酒店景观为主。依托多年经验发展，项目遍及全国各地，欢迎更多新的伙伴加入，共创前景。
家博园艺景观,建筑设计,3-5年大专,项目经理,9-10K,常州,建筑设计未融资20-99人,"Shell
工程总监
施工进度管控
管理框架
施工",员工旅游，全勤奖，五险一金，零食下午茶，餐补，交通补助，年终奖,五险一金全勤奖年终奖员工旅游餐补交通补助零食下午茶,一、职责1.负责项目的施工质量和施工进度管控2.负责也业主现场沟通，签办增项变更手续和结算手续3.负责安排工人调配和机械工具调配4.负责申请材料采购5.积极协调与各部分的配合工作二、要求1.具备丰富的综合业主能力2.会开车，灵活机动性强3.具备良好的团队合作精神4.熟悉公司管理框架5.坚持执行工程总监分配的工作任务,家博园艺-花园营造专家，创始于2012年 | 北京，一家从事景观设计品牌公司，专注别墅庭院、屋顶花园、厂区绿化等设计&施工一体化服务，经历多年的发展与沉淀，我们不断发展壮大， 2015年因发展需要，重心转移常州市场，核心团队进行重组和升级，公司现设：市场部、设计部、工程部三大部门，始终秉承专
明希园艺景观,工程施工,1年以内大专,设计助理,2-4K,上海·松江区,工程施工未融资0-20人,"草图大师
CAD
设计绘图软件
文本排版
主案设计师",全勤奖，零食下午茶，股票期权，年终奖，定期体检，带薪年假，五险一金，员工旅游，节日福利,五险一金定期体检全勤奖年终奖股票期权带薪年假员工旅游节日福利零食下午茶,1，应届毕业生，园艺或相关专业。2.配合主案设计师完成辅助性事务，如建模，彩平面制作，文本排版等3.项目及苗圃基地现场的基础工作和管理。要求：1.乐于学习，吃苦耐劳，积极向上。2.熟悉各相关设计绘图软件优先考虑。3.有团队合作精神，乐观开朗，愿意和公司共同成长。4.有相关别墅庭院景观设计经验者优先。5.具有实际驾驶经验者优先录取。,留学归国园林设计师带队，为高端客户量身打造精品景观园林，提供来自专业的园林景观服务
肯馨园艺,农/林/牧/渔,不限本科,工艺品设计师,10-11K,滁州,农/林/牧/渔20-99人,"工业设计
工艺品设计
造型设计
工艺品",,,工艺品造型设计，开发,
园达园艺,装修装饰,不限大专,园林设计师助理,4-9K,东莞,装修装饰不需要融资20-99人,"方案设计
工程造价
空间设计
设计师助理",定期体检，餐补，全勤奖，住房补贴，带薪年假，五险一金，年终奖,五险一金定期体检全勤奖年终奖带薪年假餐补住房补贴,私家花园、阳台空间设计,
华冠园创园艺,电子商务,1-3年本科,客服主管,10-15K,苏州,电子商务未融资100-499人,"电商客服
客服流程
客服团队
客服投诉
售后处理",,,"岗位职责：1、负责客服团队的整体管理，监督客服聊天记录、聊天质量,做好客服的排班安排，确保客服部每天工作有序、顺畅、高效；2、参与制定并执行客服流程、服务标准、客服工作计划、日常员工激励和绩效考核管理；3、处理售后疑难问题，善于发现后服务操作流程中的缺陷问题并及时进行纠正优化，妥善处理中差评、售前、售后、投诉等业务；4、负责推广良好的售前营销和售后服务成本的控制，及时与相关部门沟通解决问题；5、定期培训提高新老员工的业务技能和服务素质；负责客服问题处理预案的制定、售后案例的收集积累；6、负责通过优质服务维护客户关系，并持续提高客户满意度；7、配合运营团队执行促销方案，提升营销的服务满意度和好评率；8、完成上级领导交办的其他工作。任职要求： 2年以上客服管理或电商从业经验； 具有良好的人际理解和关系建立维护能力、善于沟通谈判，具有较好的管理能力和较强的协调能力，可以独立处理客服投诉事务； 工作责任心强，能承受较大的工作压力，具备团队合作精神；有强烈的客户服务意识，亲和力强，有耐心；能熟练运用各类办公软件；大专及以上学历，专业不限，年龄25--45周岁；薪资待遇：转正后税前年薪：10—25万。五险+工龄工资+年终红包",
悟园园艺,批发/零售,在校/应届中专/中技,设计师助理,2-3K,杭州·余杭区,批发/零售0-20人,"草图大师
CAD
庭院景观设计
审美能力
施工",,,有长期打算从事这个行业有吃苦耐劳精神我们是做庭院景观设计和施工的，招收能从方案到作品完成都参与的人员，不仅限于做图还要跟着一线的师傅上工地实操；希望二到三年能培养一支文化素养高有审美能力并且能实操具有工匠精神的造园队伍，期待你的加入……,
上海偶遇园艺有限公司,工程施工,3-5年大专,现场资料员,4-6K,上海·普陀区,工程施工未融资20-99人,"绿化资料
竣工图
熟悉工程
算量
AutoCAD",,,负责上海地区项目现场资料的收集与整理。1、工程造价/工民建或相关绿化专业专科学历；2、有同类同岗位工作经验优先；3、熟悉工程档案资料管理工作；4、能独立完成工程洽商、绘竣工图等相关资料，有较强的领悟能力及语言表达能力，具有亲和力，执行力强；5、具备优秀的职业道德品质。工作认真负责、责任心强，富团队合作精神；6、熟悉office系列软件，能使用AutoCAD进行测量算量等基础操作。,
